Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,10.925000,11.026250,10.825000,10.901250,3.096150,34000
1996-01-03,10.901250,11.000000,10.900000,11.000000,3.124197,16000
1996-01-04,10.750000,10.875000,10.750000,10.750000,3.053194,24000
1996-01-05,10.500000,10.750000,10.500000,10.687500,3.035442,10000
1996-01-08,10.625000,10.625000,10.400000,10.400000,2.953786,10000
1996-01-09,10.428750,10.437500,10.401250,10.401250,2.954141,24000
1996-01-10,10.425000,10.425000,10.425000,10.425000,2.960887,2000
1996-01-11,10.275000,10.282500,10.275000,10.282500,2.920414,4000
1996-01-12,10.282500,10.327500,10.250000,10.251250,2.911539,38000
1996-01-15,10.251250,10.343750,10.287500,10.288750,2.922189,12000
1996-01-16,10.128750,10.153750,10.128750,10.153750,2.883847,6000
1996-01-17,10.063750,10.076250,10.063750,10.076250,2.861835,10000
1996-01-18,9.875000,9.950000,9.637500,9.637500,2.737224,10000
1996-01-19,9.637500,9.637500,9.637500,9.637500,2.737224,0
1996-01-22,9.637500,9.875000,9.625000,9.832500,2.792607,16000
1996-01-23,9.832500,9.850000,9.776250,9.776250,2.776631,8000
1996-01-24,9.750000,9.875000,9.750000,9.825000,2.790477,12000
1996-01-25,9.750000,9.825000,9.750000,9.775000,2.776276,16000
1996-01-26,9.775000,9.775000,9.775000,9.775000,2.776276,0
1996-01-29,9.775000,9.675000,9.550000,9.550000,2.712372,14000
1996-01-30,9.550000,9.875000,9.626250,9.626250,2.734028,6000
1996-01-31,9.626250,9.626250,9.626250,9.626250,2.734028,0
1996-02-01,9.875000,9.875000,9.625000,9.625000,2.733674,4000
1996-02-02,9.625000,9.700000,9.625000,9.700000,2.754974,14000
1996-02-05,9.812500,9.812500,9.750000,9.750000,2.769175,4000
1996-02-06,9.750000,9.812500,9.675000,9.812500,2.786925,12000
1996-02-07,9.751250,9.751250,9.750000,9.750000,2.769175,8000
1996-02-08,9.750000,9.750000,9.750000,9.750000,2.769175,0
1996-02-09,9.750000,10.125000,9.700000,9.700000,2.754974,46000
1996-02-12,9.700000,9.750000,9.750000,9.750000,2.769175,2000
1996-02-13,9.750000,9.750000,9.625000,9.625000,2.733674,12000
1996-02-14,9.500000,10.000000,9.500000,10.000000,2.840180,12000
1996-02-15,10.000000,10.125000,10.000000,10.000000,2.840180,34000
1996-02-16,10.000000,10.150000,10.050000,10.050000,2.854380,46000
1996-02-19,10.050000,9.875000,9.800000,9.850000,2.797577,14000
1996-02-20,9.850000,9.975000,9.625000,9.687500,2.751424,24000
1996-02-21,9.687500,9.687500,9.687500,9.687500,2.751424,0
1996-02-22,9.750000,9.875000,9.750000,9.875000,2.804677,18000
1996-02-23,9.875000,9.875000,9.875000,9.875000,2.804677,0
1996-02-26,9.875000,10.000000,9.875000,10.000000,2.840180,22000
1996-02-27,10.000000,10.125000,10.000000,10.100000,2.868582,14000
1996-02-28,9.875000,9.875000,9.750000,9.788750,2.780181,78000
1996-02-29,9.750000,9.750000,9.625000,9.625000,2.733674,4000
1996-03-01,9.625000,9.625000,9.625000,9.625000,2.733674,0
1996-03-04,9.625000,9.775000,9.775000,9.775000,2.776276,4000
1996-03-05,9.775000,9.775000,9.775000,9.775000,2.776276,0
1996-03-06,9.775000,9.775000,9.775000,9.775000,2.776276,0
1996-03-07,9.775000,9.750000,9.600000,9.675000,2.747873,10000
1996-03-08,9.675000,9.750000,9.731250,9.750000,2.769175,8000
1996-03-11,9.675000,9.675000,9.625000,9.625000,2.733674,20000
1996-03-12,9.625000,9.625000,9.250000,9.375000,2.662668,20000
1996-03-13,9.375000,9.375000,9.375000,9.375000,2.662668,0
1996-03-14,9.375000,9.500000,9.375000,9.425000,2.676870,18000
1996-03-15,9.425000,9.425000,9.425000,9.425000,2.676870,0
1996-03-18,9.250000,9.250000,9.125000,9.125000,2.591664,4000
1996-03-19,9.042500,9.132500,9.042500,9.125000,2.591664,30000
1996-03-20,9.125000,9.125000,9.125000,9.125000,2.591664,0
1996-03-21,9.250000,9.250000,9.225000,9.225000,2.620066,6000
1996-03-22,9.278750,9.625000,9.277500,9.500000,2.698170,54000
1996-03-25,9.500000,9.875000,9.626250,9.781250,2.778050,12000
1996-03-26,9.781250,9.900000,9.800000,9.830000,2.791897,22000
1996-03-27,9.750000,9.750000,9.750000,9.750000,2.769175,2000
1996-03-28,9.750000,9.750000,9.750000,9.750000,2.769175,4000
1996-03-29,9.837500,10.000000,9.837500,9.925000,2.818878,14000
1996-04-01,9.925000,10.125000,9.925000,10.125000,2.875682,30000
1996-04-02,10.125000,10.050000,9.998750,10.035000,2.850119,20000
1996-04-03,9.900000,10.000000,9.900000,9.933750,2.821363,8000
1996-04-04,9.933750,9.933750,9.933750,9.933750,2.821363,0
1996-04-05,9.933750,9.933750,9.933750,9.933750,2.821363,0
1996-04-08,9.933750,9.906250,9.625000,9.850000,2.797577,20000
1996-04-09,9.850000,9.875000,9.775000,9.800000,2.783376,46000
1996-04-10,9.800000,9.872500,9.700000,9.836250,2.793672,8000
1996-04-11,9.836250,9.850000,9.850000,9.850000,2.797577,2000
1996-04-12,9.775000,10.050000,9.725000,9.888750,2.808583,22000
1996-04-15,9.888750,10.050000,9.950000,10.050000,2.854380,22000
1996-04-16,10.050000,10.025000,9.998750,10.000000,2.840180,14000
1996-04-17,10.150000,10.750000,10.150000,10.750000,3.053194,264000
1996-04-18,10.750000,10.775000,10.625000,10.675000,3.031892,18000
1996-04-19,10.675000,11.125000,10.576250,10.625000,3.017690,40000
1996-04-22,10.625000,10.612500,10.450000,10.612500,3.014140,42000
1996-04-23,10.425000,10.450000,10.325000,10.363750,2.943491,54000
